用户名,签名,关注人数,粉丝数,分享数,回答数,提问数,收藏数,链接
﻿陈采撷,四弦一声如裂帛,248,88,3,101,22,2,https://www.zhihu.com/people/chen-cai-xie/answers
﻿Kaiser,王司图,422,291008,60,59,0,0,https://www.zhihu.com/people/kaiserwang730/answers
﻿王凌,南京百灵岛视听/影音工程师/微信：wanglingnj,504,131,1,6,1,20,https://www.zhihu.com/people/wang-ling-63-49-7/answers
﻿Xie Yipeng,无话题经验,298,1359,0,1099,32,1,https://www.zhihu.com/people/SEUPPP/answers
﻿黄继新,和知乎在一起,9642,803597,102,782,1334,44,https://www.zhihu.com/people/jixin/answers
﻿小美,爱屋及乌霓虹妹纸,29,42413,3,66,6,1,https://www.zhihu.com/people/xiaomei-japan/answers
﻿杨嘉煜,医乃仁术,340,68743,2,145,1,10,https://www.zhihu.com/people/pengtian-peng/answers
﻿银闪,新松恨不高千尺，恶竹应须斩万竿,143,22197,0,359,0,3,https://www.zhihu.com/people/yin-shan-75/answers
﻿禹汐,美容皮肤病学，知乎专栏：正学医美,191,28578,25,71,6,7,https://www.zhihu.com/people/yuxi624/answers
﻿行简,儿童性教育课题组研究助理,44,5991,8,25,0,1,https://www.zhihu.com/people/xing-jian-78-93/answers
﻿贾小黑,皮雕皮艺,9,1,0,1,0,0,https://www.zhihu.com/people/jia-xiao-hei-65/answers
﻿Larry Wang王承伦,王李亚洲资源及职商网创始人，微信公众号Larry聊职商。欢迎关注！,124,25484,48,130,1,0,https://www.zhihu.com/people/larry-wang-46/answers
﻿小鸟,侠,221,10471,33,171,3,19,https://www.zhihu.com/people/zhang-peng-87-6-42/answers
﻿Sky李晓峰,钛度科技/电子竞技,32,87374,6,24,0,0,https://www.zhihu.com/people/li-xiao-feng-sky/answers
﻿Lucia,戏剧制作人,185,348,0,6,1,3,https://www.zhihu.com/people/luciaxz/answers
﻿何明科,不写程序的数据工程师不是好产品经理,296,151885,96,691,20,19,https://www.zhihu.com/people/he-ming-ke/answers
﻿呵呵,id不重要，请看下面的答案,466,70774,120,1642,3,21,https://www.zhihu.com/people/he-he-89-32-63/answers
﻿剑圣的跳刀,一个被集成电路行业耽误的动漫游戏段子手,25,1246,0,65,15,2,https://www.zhihu.com/people/daoshu-91-25/answers
﻿十号胖狐狸,索马里海盗驻拉面教首席代表，不是面首！兼职代言猪毛工业（大中华区）,1104,36671,8,1017,7,0,https://www.zhihu.com/people/fatfox10/answers
﻿cat soul,曾经我也想过一了百了。,260,158,0,6,3,5,https://www.zhihu.com/people/catsoul-18/answers
﻿hx liang,行尸走肉一个,3,3565,0,0,0,3,https://www.zhihu.com/people/longsi/answers
﻿Stephanie Yu,Carpe diem…有限温存，无限辛酸,311,18897,21,94,4,3,https://www.zhihu.com/people/stephanieyu/answers
﻿项木咄,艺术与考古。,127,5173,27,84,2,5,https://www.zhihu.com/people/xiang-mu-duo/answers
﻿污妖王,如果我不污了，你们还会爱我吗？,650,74619,9,331,10,14,https://www.zhihu.com/people/gabrielgao/answers
﻿TroyBoi,国家茶杯盖形象代言人,98,15373,0,35,0,1,https://www.zhihu.com/people/fu-chou-mei-24/answers
﻿浩然,么斯么斯？,64,82,0,7,0,1,https://www.zhihu.com/people/hao-ran-86-56/answers
﻿科学猫头鹰,,44,7164,,,,,https://www.zhihu.com/org/ke-xue-mao-tou-ying-60/answers
﻿陈实,跨界的儿童游戏治疗师,64,7996,9,38,1,0,https://www.zhihu.com/people/chen-shi-playtherapy/answers
﻿春梅狐狸,一只方脸藏狐，干货请关注公众号：传统服饰 ,296,6164,98,744,1,2,https://www.zhihu.com/people/foxcat/answers
﻿李晓楠,漫画作者,394,568,0,67,0,1,https://www.zhihu.com/people/li-xiao-nan-88/answers
﻿胡摆平,倚剑狂歌啸天志，酩酊千古大江流,572,5332,1,82,0,3,https://www.zhihu.com/people/hu-bai-ping/answers
﻿白如冰,大盈若冲,1637,106301,11,3196,8,7,https://www.zhihu.com/people/bai-ru-bing-58/answers
﻿花结衣,今日は風が騒がしいな,1,1756,0,11,4,2,https://www.zhihu.com/people/caowenhan/answers
﻿Andrew Xu,他出发找最爱 今天也未回来,176,33135,12,75,6,2,https://www.zhihu.com/people/owwtrl/answers
﻿黄老湿,公众号“他趣体验社”（taqu99），都市青年情趣文化先锋,15,28731,80,32,0,0,https://www.zhihu.com/people/zhengjingren/answers
﻿珍大户,"公众号:珍大户 |前交易员,现研究员.MBA 金融本硕 法学士《爱情的逻辑》待发",47,7172,23,112,29,1,https://www.zhihu.com/people/aoddess/answers
﻿徐克,化工转石油~/ 微尺度多相流,894,7308,21,123,7,8,https://www.zhihu.com/people/xu-ke-92-75/answers
﻿陈涤,手工高定皮具师,304,24510,56,149,1,1,https://www.zhihu.com/people/chen-di-19-39/answers
﻿何静,创业狗/会画画/大当家/已婚少女,46,39302,1,57,0,14,https://www.zhihu.com/people/he-jing-92-23/answers
﻿陈东维,,2,1,0,0,0,0,https://www.zhihu.com/people/chen-dong-wei-48/answers
﻿涯涯,知也无涯,23,17,0,0,0,0,https://www.zhihu.com/people/ya-ya-54-84/answers
﻿zilch,感谢大家厚爱，Live开了，再问自杀。,162,16066,1,64,0,0,https://www.zhihu.com/people/zilch/answers
﻿何钦尧,B.E in CS @ Tsinghua / Machine Learning,160,21413,5,220,0,0,https://www.zhihu.com/people/hqythu/answers
﻿穆卡,微博：穆咔mukadas  公众号：速度的秘密  不定期爆照闲聊，欢迎关注！,92,8478,4,41,0,13,https://www.zhihu.com/people/mukadas-kadir/answers
﻿苏小菱,等我哪天有了钱，睡遍貌美男演员。 ,160,1652,0,71,3,9,https://www.zhihu.com/people/wangfuguialex/answers
﻿臭咸鱼,【专注三国史。】君子之于天下也，无适也，无莫也，义之与比。,79,3179,89,107,0,2,https://www.zhihu.com/people/yu-huan-80-37/answers
﻿张方,公众号：小方说历史（xfsls1990）。人人网刘备。微博@小方说历史。,546,70697,11,265,1,1,https://www.zhihu.com/people/zhang-fang-3-23/answers
﻿Coldwings,已婚人士/专业数星星团队成员,138,12418,3,1457,4,0,https://www.zhihu.com/people/coldwings/answers
﻿刀总,一切以爆照为目的的答题都是耍流氓,349,33734,24,1125,8,6,https://www.zhihu.com/people/dao-zong/answers
﻿厉向晨,"文悦科技 <a href=""https://link.zhihu.com/?target=http%3A//wytype.com"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://",35,87758,36,828,104,1,https://www.zhihu.com/people/Digidea/answers
﻿小辛Zing,男人下厨 极简美食,48,68099,39,70,6,0,https://www.zhihu.com/people/zingfood/answers
﻿五清六分批,航天某院幽默技术委员会首席专家,998,7804,33,248,22,2,https://www.zhihu.com/people/5qing6fenpi/answers
﻿水月,做耳机的，喷子一个,17,428,5,106,2,1,https://www.zhihu.com/people/shui-yue-95-77/answers
﻿包雪龙,Plant light wherever you go,152,769,16,469,0,0,https://www.zhihu.com/people/bao-xue-long/answers
﻿喵喵,Explosion!,170,952,1,2568,14,1,https://www.zhihu.com/people/ierwin/answers
﻿阳明金玉,努力是积德后面那个零。守般若，一念不智失境界。美貌是努力后面那个零。,776,1688,1,1658,12,11,https://www.zhihu.com/people/zhou-yang-ming-32/answers
﻿陈少杰,平地抠饼，对面拿贼。吃的苦中苦，方装b上b。,0,90,0,1,0,0,https://www.zhihu.com/people/chen-shao-jie-43/answers
﻿赤坂凌太郎,主要研究方向为粟特乱华史,39,21732,16,208,22,9,https://www.zhihu.com/people/chi-ban-ling-tai-lang/answers
﻿水獭ag,偏门内容爱好者,267,2157,8,97,3,9,https://www.zhihu.com/people/ggg-ah/answers
﻿林浩二,评论区不欢迎聊天 哪条不喜欢删哪条,0,5692,0,14,0,0,https://www.zhihu.com/people/416031512zaoan/answers
﻿王子君,手中钱腰间肉胯下屌，均不让我心安,396,102391,7,334,0,0,https://www.zhihu.com/people/nogirlnotalk/answers
﻿周看看,,156,27720,12,134,4,7,https://www.zhihu.com/people/city-zhou-kan/answers
﻿一苒,汽车产品规划 / 市场传播 / 渠道管理 / 汽车电商 / 业余车评人,159,24031,72,254,4,2,https://www.zhihu.com/people/Saal-Paradise/answers
﻿大地,  存在、起源、未来～～,20,4167,4,25,0,0,https://www.zhihu.com/people/stardust-x/answers
﻿marco,,1034,19308,0,118,64,2,https://www.zhihu.com/people/marcoz/answers
﻿Kyoukai,然则不变者，斯人与人之隔阂，无可抵达之伽蓝境界,435,8758,7,105,4,4,https://www.zhihu.com/people/karanokyoukai/answers
﻿[已重置],你的私人肾病管理管家，微信号15680019787,1,29,0,5,0,0,https://www.zhihu.com/people/xiao-qiu-yi-sheng/answers
﻿warfalcon,"微信号：read01 , 2011年完成每天一本书习惯",598,507072,22,540,0,51,https://www.zhihu.com/people/warfalcon/answers
﻿小红拖拉机,人力资源遇上心理学,482,51221,45,105,0,3,https://www.zhihu.com/people/xhtlj/answers
﻿刘晨,“字典序列”作者，头条问答市场负责人,60,3529,21,128,9,0,https://www.zhihu.com/people/liu-chen-1/answers
﻿君临,独立证券分析媒体,451,191840,75,155,15,0,https://www.zhihu.com/people/junlin_1980/answers
﻿窦泽南,基因|大脑|心理|行为,209,12874,24,24,8,5,https://www.zhihu.com/people/dou-ze-nan-51/answers
﻿阿猴HOSEA,「乐高出柜计划」作者 / UAL中央圣马丁 摄影MA在读,193,17650,15,42,5,1,https://www.zhihu.com/people/liu-hong-jia/answers
﻿康石石,艺术留学大拿,3,62482,101,422,0,0,https://www.zhihu.com/people/kangshishi/answers
﻿兰雨,个人问题咨询请用 值乎,304,13490,97,272,9,8,https://www.zhihu.com/people/lanyu88/answers
﻿姚厚朴,传统文化/HR ,404,22332,3,30,0,10,https://www.zhihu.com/people/houpuzi/answers
﻿大象老湿,读书、写作、记录生活。,398,12670,30,49,5,4,https://www.zhihu.com/people/da-xiang-xiao-bing/answers
﻿刘未鹏,"《暗时间》作者，<a href=""https://link.zhihu.com/?target=http%3A//mindhacks.cn"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://",300,12392,16,5,0,0,https://www.zhihu.com/people/pongba/answers
﻿张戎,追求卓越 成功就会在不经意间追上你,27,5604,7,379,2,5,https://www.zhihu.com/people/zr9558/answers
﻿Monster,,126,2139,1,53,2,1,https://www.zhihu.com/people/naocanmonster/answers
﻿PentaQ刺猬电竞社,,24,14701,,,,,https://www.zhihu.com/org/pentaq-ci-wei-dian-jing-she/answers
﻿十一点半,《以色列2：在危机中生存》已上架,78,77874,11,20,1,1,https://www.zhihu.com/people/shi-yidian-ban-98/answers
﻿火山大陆滕磊,ARK design联合创始人兼CEO,35,803,13,4,0,5,https://www.zhihu.com/people/hxxland/answers
﻿邦德小姐,梦想家,113,235,0,42,0,7,https://www.zhihu.com/people/bang-de-xiao-jie/answers
﻿高思达,计算机/机器学习学生，音乐剧、话剧爱好者,27,10,0,13,0,2,https://www.zhihu.com/people/gao-si-da-38/answers
﻿席妙雅,微信公众号：味之道,172,61397,37,43,1,1,https://www.zhihu.com/people/alice-xi/answers
﻿青锐吴斌,青锐创投合伙人/哲学/自然/社科,69,21109,15,297,2,0,https://www.zhihu.com/people/wu-bin-817/answers
﻿何求知,数据分析师,12,25,0,2,0,9,https://www.zhihu.com/people/he-qiu-zhi-26/answers
﻿Tang Yun,咨询顾问 / 数据分析 / 音乐创作,149,490,0,41,0,0,https://www.zhihu.com/people/excelpapa/answers
﻿麦克蛤瑟,你在坏宝宝名单上,391,28,7,19,2,5,https://www.zhihu.com/people/wang-tie-zhu-36-68/answers
﻿挣扎,东方舞舞者，业余主播，应届毕业生。,2,29,0,1,3,0,https://www.zhihu.com/people/bing-shan-5-16/answers
﻿枯烟,不是一个失败者，也不是一个勃学家,463,18,2,2,0,15,https://www.zhihu.com/people/ku-yan-95-19/answers
﻿龙延皓,无论多么沉重的命运都与你一同分担。,2,19,0,2,0,2,https://www.zhihu.com/people/longyanhao/answers
﻿柴淼,未来的教师。来涨姿势的籼米。夏侯瑾轩死忠粉。,1,1,0,2,0,1,https://www.zhihu.com/people/chai-miao-15/answers
﻿海棠,,13,14,0,10,0,5,https://www.zhihu.com/people/hai-tang-25-21/answers
﻿梁边妖,偶尔会发笑。,995,554059,20,43,0,3,https://www.zhihu.com/people/liangbianyao/answers
﻿胡仙君,苟能泽下民，维此远亦沾——王安石,49,481,5,142,12,0,https://www.zhihu.com/people/hu-xian-jun-80/answers
﻿shuojiong,建筑/设计/文/艺,122,9245,6,72,2,1,https://www.zhihu.com/people/shuojiong/answers
﻿造数君,"造数，认真做最好用的云爬虫：<a href=""https://link.zhihu.com/?target=http%3A//www.zaoshu.io"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.",56,1496,4,16,0,0,https://www.zhihu.com/people/zao-xiao-shu/answers
﻿韬奋大叔,努力写字，只为得到你的关注。,211,3397,15,63,0,2,https://www.zhihu.com/people/tao-fen-da-shu/answers
﻿杰安妮Joanie,玻璃心，一言不合就封评论:) 微公：HereJP在Japan，那里可以来聊天。,67,1753,2,24,0,0,https://www.zhihu.com/people/herejp/answers
﻿windleavez,电子游戏 / 影碟爱好者,190,122580,21,170,11,0,https://www.zhihu.com/people/windleavez/answers
﻿Fan Francis,SMELL HER ON YOU,176,77091,15,1035,23,0,https://www.zhihu.com/people/ffancage/answers
﻿Shimizumint,ふわふわなミントは不滅じゃ！,505,59754,25,340,9,0,https://www.zhihu.com/people/shimizumint/answers
﻿Tony REN,With no power comes no responsibility,45,318,0,0,0,2,https://www.zhihu.com/people/t0nyren/answers
﻿晃荡范,米其林搜集癖 / 大排档爱好者 / 冷门旅游地控,153,10700,10,22,0,2,https://www.zhihu.com/people/FanViajero/answers
﻿投行小兵,资深投行专家，金融领域专家,1,3033,18,43,0,0,https://www.zhihu.com/people/ibxb/answers
﻿东家App,,3,2614,,,,,https://www.zhihu.com/org/dong-jia-app/answers
﻿linyi812,考古工作者,32,927,0,46,1,3,https://www.zhihu.com/people/linyi812/answers
﻿Enigma,,21,34,0,0,0,2,https://www.zhihu.com/people/zhong-yin-chu-62/answers
﻿花吃了那女孩,能饮一杯无？？？,988,35682,32,997,11,9,https://www.zhihu.com/people/ni-zhi-dao-wo-bu-zhi-dao-96/answers
﻿grapeot,简单介绍自己，让知友有机会认识你,248,23829,27,89,22,2,https://www.zhihu.com/people/grapeot/answers
﻿可乐姑娘,今天生日，私信必回～请先关注哦～,221,10295,10,25,2,0,https://www.zhihu.com/people/cocokele/answers
﻿徐二狗,爱健身，英国留学，高颜值，五迷， 暖男，都是假的,15,1281,1,10,0,2,https://www.zhihu.com/people/richard-45-75/answers
﻿圣范锦意,著名节操爆表星人/污妖王/,185,44635,44,1442,51,1,https://www.zhihu.com/people/sheng-fan-jin-yi/answers
﻿江壹城,Not-so-active Fund Manager,16,24173,39,84,0,1,https://www.zhihu.com/people/jaingyicheng/answers
﻿吕晓艺,黑老婆瘾患者。,822,31536,0,297,10,11,https://www.zhihu.com/people/lu-xiao-yi-54/answers
﻿羊迪,世界或许不会越来越好，但是人可以,164,22916,30,102,45,31,https://www.zhihu.com/people/yangdiyadid/answers
﻿Owl of Minerva,"Hic Rhodus, hic salta",82,45166,25,102,0,0,https://www.zhihu.com/people/OwlofMinerva/answers
﻿HAKU,,119,11345,34,119,0,6,https://www.zhihu.com/people/haku-61/answers
﻿苏菲,居住东京六年的自由职业者,421,363453,52,337,58,17,https://www.zhihu.com/people/su-fei-17/answers
﻿王诺诺,微信平台：misswangnuonuo,511,342857,10,238,11,2,https://www.zhihu.com/people/wangnuonuo/answers
﻿猫球,胸大无脑,88,80518,8,149,9,16,https://www.zhihu.com/people/LittleBallOfFur/answers
﻿Kyon N,努力出栏中……,157,5933,12,459,8,1,https://www.zhihu.com/people/kyon-n/answers
﻿野蛮人,谈笑风生 屠狗辈,213,56,0,81,0,0,https://www.zhihu.com/people/bu-dong-zhuang-64/answers
﻿妙面爸,亲子英语专家/外研社作者/微信『妙面的原典无敌发小』,257,9537,91,79,47,20,https://www.zhihu.com/people/xmmlovegod/answers
﻿高晨.Alex,是老师，是教画画的，不是养猪的,19,99,0,11,0,4,https://www.zhihu.com/people/gao-chen-96-98/answers
﻿王滕昊,前动视暴雪Technical Artist，现2K Character TD,59,1764,1,59,2,1,https://www.zhihu.com/people/wang-teng-hao/answers
﻿張佩玉,肝膽相照，欲與天下共分秋月；意氣相許，欲與天下共坐春風。,167,12697,2,63,0,3,https://www.zhihu.com/people/cxreat/answers
﻿马前卒,山楂糕、枣泥饼、酸奶冰棍,62,311732,153,1346,26,19,https://www.zhihu.com/people/ma-qian-zu/answers
﻿牧童,在草原上愉快的玩耍 ,24,292,0,30,0,0,https://www.zhihu.com/people/mu-tong-78/answers
﻿朱伟平,中科院助理研究员,3,2,0,5,0,0,https://www.zhihu.com/people/zhu-wei-ping-83/answers
﻿惊云,腾讯游戏/公众号:惊云小屋/ 个人微信：shenhaizhumin,219,13882,22,108,2,1,https://www.zhihu.com/people/MartiniZhang/answers
﻿芝士就是力量,「16小时打通求职道路」Live专题上线，限时五折优惠。,0,179524,17,562,1,1,https://www.zhihu.com/people/zhi-shi-jiu-shi-li-liang-13/answers
﻿鹤运,玩泥巴的少年,829,13214,19,257,4,1,https://www.zhihu.com/people/he-yun-87/answers
﻿Feitong Yang,,30,5362,12,18,1,2,https://www.zhihu.com/people/feitong-yang/answers
﻿夏昊BFA,北京电影学院摄影系本科生,1528,200626,12,743,368,17,https://www.zhihu.com/people/xiahao/answers
﻿瘾大人,抖 一年没调教的我只是问约么？ 微信SM1984C,0,3048,4,55,5,5,https://www.zhihu.com/people/dao-zi-tou/answers
﻿Dr.迪克,纯洁司机，情趣玩家，爱好颇多，嬉而不精。公众号：Dick老湿,26,16202,5,54,0,6,https://www.zhihu.com/people/ri-xin-sha-shou-ge-bai-ni-65/answers
﻿昨日枫,金融业,448,1075,0,3,0,1,https://www.zhihu.com/people/zuo-ri-feng-26/answers
﻿金攀,,6,3,0,1,0,3,https://www.zhihu.com/people/jin-pan-93-98/answers
﻿花总丢了金箍棒,诺贝尔卖莔奖得主,21,106544,12,115,2,8,https://www.zhihu.com/people/huazong/answers
﻿小铜雀儿,经济学博士在读,106,4403,5,28,0,2,https://www.zhihu.com/people/euphorica/answers
